Airline ID,Operator,ICAO,Country,Active,Date,Location,Type,Aboard,Fatalities
935,Air Taxi,HAT,France,N,1989-08-21,"Gold Beach, Oregon",Beechcraft C90,3.0,3.0
935,Air Taxi,HAT,France,N,1997-07-05,"Skwentna, Alaska",de Havilland DHC-2,5.0,4.0
935,Air Taxi,HAT,France,N,2000-08-15,"Lumber City, Georgia",Piper PA-31-350,3.0,3.0
935,Air Taxi,HAT,France,N,2001-07-30,"Haines, Alaska",Piper PA-32-300,6.0,6.0
935,Air Taxi,HAT,France,N,2002-04-01,"Near Cairns, QLD, Australia",Shrike Commander 500S,4.0,4.0
935,Air Taxi,HAT,France,N,2004-03-18,"Hamilton Island, QLD, Australia",Piper PA-32-300,6.0,6.0
943,Air Tahoma,HMA,United States,N,2008-09-01,"Columbus, Ohio",Convair CV-580,3.0,3.0
972,Airlink,JAR,Austria,N,1999-02-03,"Hoskins, Papua New Guinea",Britten Norman BN-2A Trislander,11.0,11.0
972,Airlink,JAR,Austria,N,1999-06-17,"Goroka, Papua New Guinea",Embraer 110P2 Bandeirante,17.0,17.0
1035,Airlink,LNK,South Africa,N,1999-02-03,"Hoskins, Papua New Guinea",Britten Norman BN-2A Trislander,11.0,11.0
1035,Airlink,LNK,South Africa,N,1999-06-17,"Goroka, Papua New Guinea",Embraer 110P2 Bandeirante,17.0,17.0
1052,Air Luxor,LXR,Portugal,Y,1998-02-04,"Terceira, Portugal",Antonov 12BP,7.0,7.0
1066,Air Madagascar,MDG,Madagascar,Y,1981-07-24,Madagascar,de Havilland Canada DHC-6 Twin Otter 300,19.0,19.0
1075,Air Mali,MLI,Mali,N,1983-06-21,"Niela, Mali",de Havilland Canada DHC-6 Twin Otter 300,7.0,7.0
1075,Air Mali,MLI,Mali,N,1985-02-22,"Timbuktu, Mali",Antonov AN-24V,51.0,50.0
1093,Air Mauritanie,MRT,Mauritania,N,1994-07-01,"Near Tidjika, Mauritania",Fokker F-28 Fellowship 4000,93.0,80.0
1132,Air Ontario,ONT,Canada,N,1989-03-10,"Dryden, Ontario, Canada",Fokker F-28 Fellowship 1000,69.0,24.0
1168,Alada,RAD,Angola,N,1998-08-11,"Saurimo, Angola",Antonov An-12BP,13.0,1.0
1200,Asian Spirit,RIT,Philippines,Y,1999-12-07,"Near Bayombang, Philippines",Let 410UVP,17.0,17.0
1202,Air Afrique,RKA,Ivory Coast,Y,1987-07-24,"Geneva, Switzerland",McDonnell Douglas DC-10-30,163.0,1.0
1216,Armavia,RNV,Armenia,Y,2006-05-03,"Off Sochi, Russia",Airbus A320-211,113.0,113.0
1232,Aeronorte,RTE,Portugal,Y,1973-09-30,"Miritituba, Brazil",Douglas DC-3A,9.0,9.0
1255,Aero Sudpacifico,SDP,Mexico,N,1992-12-09,"Uruapan, Mexico",Britten-Norman BN-2B-27 Islander,9.0,9.0
1295,Air Cargo Express,TDG,United States,N,2001-12-10,"Sierra Blanca, Texas",Learjet 24D,2.0,2.0
1310,Aero Tropical,TPB,Angola,N,1996-02-27,"Near Lukapa, Angola",Antonov 12BP,8.0,8.0
1355,British Airways,BAW,United Kingdom,Y,1971-10-02,"Near Aarsele, West Vlaanderen, Belgium",Vickers Vanguard 951,63.0,63.0
1355,British Airways,BAW,United Kingdom,Y,1972-06-18,"London Heathrow,  Staines, Surrey, England",Hawker Siddeley Trident 1C,118.0,118.0
1355,British Airways,BAW,United Kingdom,Y,1973-01-19,"Near Glasgow, England",Vickers 802 Viscount,4.0,4.0
1355,British Airways,BAW,United Kingdom,Y,1982-06-24,"Mount Galunggung, Indonesia",Boeing B-747,257.0,0.0
1355,British Airways,BAW,United Kingdom,Y,1990-06-10,"Oxfordshire, England",BAC One-Eleven 528FL,85.0,0.0
1355,British Airways,BAW,United Kingdom,Y,2008-01-17,"London, England",Boeing 777-236ER,152.0,0.0
1572,British Airways,XMS,United Kingdom,N,1971-10-02,"Near Aarsele, West Vlaanderen, Belgium",Vickers Vanguard 951,63.0,63.0
1572,British Airways,XMS,United Kingdom,N,1972-06-18,"London Heathrow,  Staines, Surrey, England",Hawker Siddeley Trident 1C,118.0,118.0
1572,British Airways,XMS,United Kingdom,N,1973-01-19,"Near Glasgow, England",Vickers 802 Viscount,4.0,4.0
1572,British Airways,XMS,United Kingdom,N,1982-06-24,"Mount Galunggung, Indonesia",Boeing B-747,257.0,0.0
1572,British Airways,XMS,United Kingdom,N,1990-06-10,"Oxfordshire, England",BAC One-Eleven 528FL,85.0,0.0
1572,British Airways,XMS,United Kingdom,N,2008-01-17,"London, England",Boeing 777-236ER,152.0,0.0
1363,Blue Bird Aviation,BBZ,Kenya,N,2004-05-23,"Mwingi, Kenya",Let 410UVP,2.0,2.0
1424,Blue Bird Aviation,BLB,Sudan,N,2004-05-23,"Mwingi, Kenya",Let 410UVP,2.0,2.0
1377,Bar Harbor Airlines,AJC,United States,N,1985-08-25,"Auburn, Maine",Beechcraft 99,8.0,8.0
1398,Bristow Helicopters,BHL,United Kingdom,N,1981-12-16,"Kuala Belait, Brunei",Aerospatiale Puma,,12.0
1398,Bristow Helicopters,BHL,United Kingdom,N,1995-04-23,"Lagos, Nigeria",de Havilland Canada DHC-6 Twin Otter 300,9.0,1.0
1398,Bristow Helicopters,BHL,United Kingdom,N,2002-07-16,"Off Cromer, Norfork, England",Sikorsky S-76A,11.0,11.0
1406,Balkan Bulgarian Airlines,,,Y,1971-01-18,"Zurich, Switzerland",Ilyushin IL-18,47.0,45.0
1406,Balkan Bulgarian Airlines,,,Y,1971-12-21,"Sofia, Bulgaria",Ilyushin IL-18B,73.0,28.0
1406,Balkan Bulgarian Airlines,,,Y,1972-11-04,"Near Plovdiv, Bulgaria",Ilyushin IL-14P,35.0,35.0
1406,Balkan Bulgarian Airlines,,,Y,1973-03-03,"Moscow, Russia",Ilyushin IL-18V,25.0,25.0
1406,Balkan Bulgarian Airlines,,,Y,1975-11-22,"Sofia, Bulgaria",Antonov AN-24B,48.0,3.0
1406,Balkan Bulgarian Airlines,,,Y,1977-12-02,"Near Al Bayda, Lebanon",Tupolev TU-154B,165.0,59.0
1406,Balkan Bulgarian Airlines,,,Y,1978-03-16,"Vrastsa, Bulgaria",Tupolev TU-134,73.0,73.0
